Name = FX 60-100
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
76.0	0.018	4.30108	-0.060	0.002	0.511	0.013	0.536	0.004	0.516	3.566
77.0	0.018	4.35600	-0.060	0.002	0.511	0.014	0.538	0.004	0.616	3.611
78.0	0.018	4.41914	-0.060	0.002	0.512	0.014	0.540	0.004	1.044	3.650
79.0	0.017	4.33845	-0.059	0.002	0.513	0.014	0.542	0.004	1.190	3.679
80.0	0.017	4.40292	-0.059	0.002	0.514	0.014	0.544	0.004	1.365	3.711
81.0	0.017	4.33168	-0.059	0.002	0.515	0.014	0.546	0.004	1.551	3.731
82.0	0.017	4.42818	-0.059	0.002	0.516	0.014	0.549	0.004	1.763	3.756
83.0	0.017	4.38150	-0.058	0.002	0.517	0.014	0.551	0.004	2.547	3.768
84.0	0.016	4.34163	-0.058	0.002	0.518	0.014	0.553	0.004	2.965	3.776
85.0	0.016	4.31168	-0.058	0.002	0.519	0.014	0.555	0.004	3.492	3.780
86.0	0.016	4.28668	-0.057	0.002	0.520	0.014	0.557	0.004	4.159	3.780
87.0	0.016	4.27435	-0.057	0.002	0.520	0.014	0.559	0.004	7.640	3.776
88.0	0.016	4.34655	-0.056	0.002	0.521	0.014	0.562	0.004	9.587	3.743
89.0	0.016	4.34675	-0.056	0.002	0.522	0.014	0.564	0.004	9.913	3.730
90.0	0.016	4.89726	-0.055	0.002	0.523	0.013	0.566	0.003	14.188	3.706
91.0	0.016	4.89638	-0.055	0.002	0.523	0.013	0.570	0.003	22.291	3.688
